"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
"7070","43.2907449","-77.7938319","50","","","customers","OVERPASS","","","parking","parking"
"7072","40.7240456","-92.8720886","50","","","","OVERPASS","","","parking","parking"
"23787","30.3543362","-97.4069382","50","","","customers","OVERPASS","","","parking","parking"
"7111","33.7627775","-116.9702485","200","","","","OVERPASS","","","parking","parking"
"7114","41.450004","-81.4872154","100","","","","OVERPASS","","","fountain","other"
"7115","26.0448759","-80.2044608","200","","","permit","OVERPASS","","","parking","parking"
"7116","27.4449331","-82.6093066","50","","","","OVERPASS","","","parking","parking"
"7117","31.5495775","-97.1224145","50","Subway"," Baylor University""""","South 5th Street Waco TX 76706, South University Parks Drive Waco TX 76706"",,OVERPASS,['09:00-22:00'],,""fast_food, parking, university"",food_and_drink","","","","",""
"7462","31.8919045","-85.1464177","100","Walgreens","","","OVERPASS","","","pharmacy","healthcare"
"7154","41.8206088","-87.8679605","50","Plymouth Place","","","OVERPASS","","","social_facility","other"
"7155","42.5638441","-83.1658813","50","","","","OVERPASS","","","parking","parking"
"7156","44.2621884","-72.5828555","50","","","","OVERPASS","","","parking","parking"
"7159","37.3976103","-122.0619367","50","EVgo","","yes","OVERPASS","","","charging_station","transport"
"23857","37.5711272","-77.4680687","50","","","","OVERPASS","","","vending_machine;waste_basket","other"
"7207","33.445046","-112.3027548","50","Avondale Public Library","West Civic Center Drive Avondale AZ 85323","","OVERPASS","","","library","other"
"7210","34.086385","-84.2609674","50","Windward Park & Ride","","","OVERPASS","","","parking","parking"
"23906","38.5599345","-77.0111286","50","","","","OVERPASS","","","parking","parking"
"23907","40.059299","-80.5921587","50","","","","OVERPASS","","","charging_station","transport"
"23908","40.8078475","-73.9019514","50","","","","OVERPASS","","","parking","parking"
"23949","34.0560331","-118.3225372","100","Windsor Gardens Convalescent Hospital of Los Angeles","Crenshaw Boulevard Los Angeles 90019","","OVERPASS","","","social_facility","other"
"7304","37.6531717","-122.0175625","50","","","","OVERPASS","","","charging_station","transport"
"7306","39.0346217","-76.685574","50","","","customers","OVERPASS","","","parking","parking"
"7308","33.2779152","-111.8168224","100","","","","OVERPASS","","","waste_disposal","other"
"7315","25.5980039","-80.3580965","100","","","private","OVERPASS","","","parking","parking"
"23992","39.7897001","-105.5123012","200","Missouri City Cemetery","","","OVERPASS","","","grave_yard","other"
"7351","37.6548841","-122.3941442","50","","","","OVERPASS","","","parking","parking"
"7352","37.8521662","-122.2944411","100","","","","OVERPASS","","","parking","parking"
"7353","39.7370937","-105.021967","50","","","","OVERPASS","","","bench","other"
"7355","27.3335029","-82.5453701","50","","","","OVERPASS","","","parking","parking"
"7356","31.5969053","-96.1517215","50","","","","OVERPASS","","","fuel","transport"
"7357","33.6310269","-112.3604122","50","","","","OVERPASS","","","community_centre","other"
"7358","40.7741936","-111.9476882","50","","","","OVERPASS","['24/7']","","bicycle_repair_station","other"
"24039","45.2141285","-123.1866976","50","","","","OVERPASS","","","parking","parking"
"24040","48.1092469","-122.7728307","50","","","","OVERPASS","","","charging_station","transport"
"24050","42.9492416","-77.6004291","50","Dunkin'","West Main Street Honeoye Falls NY 14472","","OVERPASS","['24/7']","","fast_food","food_and_drink"
"7401","34.5468137","-85.9113246","50","Northeast Alabama Community College","AL Hwy 35 Rainsville AL 35986","","OVERPASS","","","university","education"
"7403","25.6983117","-80.1611428","200","","","","OVERPASS","","","parking_entrance","parking"
"24086","36.0433529","-86.7700481","100","","","","OVERPASS","","","parking","parking"
"7447","40.2532707","-76.8852708","50","","","yes","OVERPASS","","","parking","parking"
"7448","41.7486658","-71.1154557","50","","","private","OVERPASS","","","parking","parking"
"7450","32.6971328","-114.6166653","50","","","","OVERPASS","","","parking","parking"
"7451","37.3704966","-121.9459284","200","","","","OVERPASS","","","parking","parking"
"7452","37.5018032","-122.2194247","50","","","","OVERPASS","","","parking","parking"
"7453","41.5631252","-87.6673077","100","Homewood Village Hall"," AP""""","Chestnut Road Homewood IL 60430, Ridge Road Homewood IL 60430"",,OVERPASS,,,""fuel, parking, townhall"",parking","","","","",""
"7456","33.7263912","-117.8020346","200","","","","OVERPASS","","","parking","parking"
"7460","45.0207978","-93.4682196","50","","","","OVERPASS","","","parking","parking"
