"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
16530,39.2235244,-84.5179691,50,"nan","nan","nan","OVERPASS","nan","nan","waste_disposal","other"
16531,42.5431088,-83.1148225,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16532,43.2707845,-93.6344636,200,"Kway","nan","nan","OVERPASS","nan","nan","fuel","transport"
16533,33.6431527,-117.8407772,50,"University of California, Irvine, Social Science Parking Structure, Lot BP","Social Court Irvine 92617","permit, permit","OVERPASS","nan","nan","parking, university","education"
16534,37.4117323,-122.0356817,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16535,37.4959433,-122.2262593,100,"nan","nan","nan","OVERPASS","nan","nan","post_box","other"
16536,39.6539425,-77.9273204,50,"nan","nan","nan","OVERPASS","nan","nan","fuel","transport"
16537,41.5848668,-83.7057932,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16538,44.7469695,-93.2787269,50,"nan","nan","nan","OVERPASS","nan","nan","bicycle_parking, bicycle_repair_station, charging_station, parking","parking"
16539,47.6218963,-122.1779119,100,"Dote Coffee Bar","Northeast Spring Boulevard Bellevue WA","nan","OVERPASS","['Mo-Fr 08:00-16:00']","[{'days': ['{""Mo-Fr'], 'open': '08:00', 'close': '16:00""}'}]","cafe, parking_entrance","food_and_drink"
16540,37.8412299,-122.1090799,100,"St. Mary's College of California","nan","nan","OVERPASS","nan","nan","college","education"
16541,38.7438339,-121.251233,50,"Romano's Macaroni Grill","Douglas Boulevard","nan","OVERPASS","nan","nan","parking, restaurant","food_and_drink"
16542,39.2978173,-76.5964628,50,"Caroline Street Garage, Johns Hopkins University - East Baltimore Campus","East Monument Street Baltimore MD 21205, North Broadway Baltimore MD","yes","OVERPASS","nan","nan","parking, parking_entrance, university","education"
16543,42.3363711,-83.0528255,50,"Pao, 151 W Adams Lot, Grand Circus Park Garage","Adams Street West Detroit MI 48226, Woodward Avenue Detroit MI 48226","yes, yes","OVERPASS","nan","nan","parking, restaurant","food_and_drink"
16544,28.9830093,-95.9844153,50,"Best Western Bay City, TX - Tesla Destination, Best Western Bay City, TX - Tesla Destination","nan","customers, customers","OVERPASS","['24/7, 24/7']","nan","charging_station","transport"
16545,40.4740932,-74.2863445,50,"nan","nan","private","OVERPASS","nan","nan","parking, parking_space, waste_disposal","parking"
16546,40.7033009,-104.999916,50,"Kum & Go","nan","nan","OVERPASS","nan","nan","fuel, parking","parking"
16547,41.8535102,-103.6600921,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16548,43.6182861,-116.350768,50,"Western Union","nan","nan","OVERPASS","nan","nan","charging_station, money_transfer, parking","parking"
16549,34.4223437,-118.5600429,200,"Valencia Car Wash","nan","nan","OVERPASS","nan","nan","car_wash, parking","parking"
16550,38.9242246,-77.2256883,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16551,39.9284212,-105.14018,200,"Sonic, Freddy's, Chipotle","Coalton Road Superior CO 80027, Coalton Road Louisville CO 80027, Coalton Road Superior CO 80027","customers, customers","OVERPASS","['07:00-22:00, Mo-Su 10:30-22:00']","nan","fast_food, parking","food_and_drink"
16552,47.3555956,-68.3283753,100,"Senior Citizens Center, Madawaska Town Office","ME, St Thomas Street Madawaska ME 04756","nan","OVERPASS","nan","nan","community_centre, townhall","government_civic"
16553,26.193166,-80.2755293,200,"7-Eleven, McDonald's","West Commercial Boulevard Sunrise FL 33351, West Commercial Boulevard Sunrise FL 33351","nan","OVERPASS","['06:00-22:00']","nan","fast_food, fuel","food_and_drink"
16554,31.7257538,-96.1776319,50,"Whataburger, Tesla Supercharger, Shell","I - 45 Fairfield TX 75840","yes","OVERPASS","['24/7']","nan","charging_station, fast_food, fuel","food_and_drink"
16555,32.7530406,-117.1999009,50,"State Park Ranger Headquarters","Telegraph Plz San Diego CA 92110","yes","OVERPASS","nan","nan","parking, ranger_station","parking"
16556,37.381039,-121.9763617,50,"Floodcraft Brewing Company","Augustine Drive Santa Clara CA 95054","customers","OVERPASS","nan","nan","parking, pub","food_and_drink"
16557,42.642151,-84.5210615,50,"ChargePoint, ChargePoint, ChargePoint","nan","nan","OVERPASS","['24/7, 24/7, 24/7']","nan","charging_station, drinking_water, parking, shelter, toilets","parking"
16558,32.9194934,-97.0854529,50,"Cinemark Tinseltown Grapevine and XD","West State Highway 114 Grapevine TX 76051","nan","OVERPASS","nan","nan","cinema, parking","parking"
16559,42.3794801,-71.0944873,50,"Bronwyn, Union Square Pizzeria, Bank of America, Field & Vine, Blue Bikes - Union Square - Somerville, Backbar, Warehouse XI, Vera's, The Jungle Community Music Club, ChargePoint, The Independent, Taqueria Picante, Vera's, June Bug, Bluebikes","Washington Street Somerville MA 02143, Union Square, Sanborn Court, Sanborn Court, Sanborn Court Somerville MA, Sanborn Court, Washington Street Somerville MA 02143","yes, yes, yes, private, private, no","OVERPASS","['Tu-Sa 17:00-20:45, Tu-Su 17:00-24:00, Mo-Su 10:00-22:00, 24/7']","nan","atm, bar, bench, bicycle_parking, bicycle_rental, charging_station, community_centre, drinking_water, fast_food, nightclub, parking, parking_space, pub, recycling, restaurant, waste_basket","food_and_drink"
16560,42.9367175,-78.8515772,50,"nan","nan","customers","OVERPASS","nan","nan","parking","parking"
16561,42.9505744,-71.4383419,50,"nan","nan","customers","OVERPASS","nan","nan","parking","parking"
16562,34.9217848,-120.4204002,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16563,38.7101873,-120.8426975,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16564,39.014415,-94.5902839,50,"United States Post Office - Country Club Station","West 63rd Street Kansas City MO 64113","yes, customers, customers","OVERPASS","nan","nan","parking, post_office","parking"
16565,41.9556151,-70.7141257,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16566,42.1720418,-71.1345827,50,"Pequitside Farm, Pequitside Farm - Armando","Pleasant Street Canton MA 02021, Pleasant Street Canton MA 02021","yes, yes","OVERPASS","nan","nan","charging_station, parking","parking"
