time,Sum of Sessions - ChargerId → Energy,energy
2018-07-28T18:30:00Z,93.006,93.006
2018-07-29T18:30:00Z,36.01,36.01
2018-07-30T18:30:00Z,147.126,147.126
2018-07-31T18:30:00Z,122.152,122.152
2018-08-01T18:30:00Z,75.835,75.835
2018-08-02T18:30:00Z,186.637,186.637
2018-08-03T18:30:00Z,54.510999999999996,54.510999999999996
2018-08-04T18:30:00Z,0,0
2018-08-05T18:30:00Z,113.27000000000001,113.27000000000001
2018-08-06T18:30:00Z,152.817,152.817
2018-08-07T18:30:00Z,136.46,136.46
2018-08-08T18:30:00Z,222.26,222.26
2018-08-09T18:30:00Z,66.02,66.02
2018-08-10T18:30:00Z,71.099,71.099
2018-08-11T18:30:00Z,18.061,18.061
2018-08-12T18:30:00Z,144.465,144.465
2018-08-13T18:30:00Z,69.198,69.198
2018-08-14T18:30:00Z,135.732,135.732
2018-08-15T18:30:00Z,214.276,214.276
2018-08-16T18:30:00Z,113.856,113.856
2018-08-17T18:30:00Z,5.947,5.947
2018-08-19T18:30:00Z,150.41,150.41
2018-08-20T18:30:00Z,147.181,147.181
2018-08-21T18:30:00Z,209.459,209.459
2018-08-22T18:30:00Z,83.554,83.554
2018-08-23T18:30:00Z,176.32,176.32
2018-08-25T18:30:00Z,94.30600000000001,94.30600000000001
2018-08-26T18:30:00Z,174.747,174.747
2018-08-27T18:30:00Z,80.157,80.157
2018-08-28T18:30:00Z,99.529,99.529
2018-08-29T18:30:00Z,188.256,188.256
2018-08-30T18:30:00Z,74.712,74.712
2018-08-31T18:30:00Z,12.96,12.96
2018-09-01T18:30:00Z,27.91,27.91
2018-09-03T18:30:00Z,153.87300000000002,153.87300000000002
2018-09-04T18:30:00Z,107.223,107.223
2018-09-05T18:30:00Z,95.20400000000001,95.20400000000001
2018-09-06T18:30:00Z,189.954,189.954
2018-09-07T18:30:00Z,0,0
2018-09-08T18:30:00Z,4.593,4.593
2018-09-09T18:30:00Z,30.863,30.863
2018-09-10T18:30:00Z,169.112,169.112
2018-09-11T18:30:00Z,59.951,59.951
2018-09-12T18:30:00Z,74.247,74.247
2018-09-13T18:30:00Z,51.91,51.91
2018-09-14T18:30:00Z,36.031,36.031
2018-09-15T18:30:00Z,31.455,31.455
2018-09-16T18:30:00Z,101.349,101.349
2018-09-17T18:30:00Z,167.09300000000002,167.09300000000002
2018-09-18T18:30:00Z,125.68299999999999,125.68299999999999
2018-09-19T18:30:00Z,133.333,133.333
2018-09-20T18:30:00Z,57.287,57.287
2018-09-21T18:30:00Z,11.233,11.233
2018-09-22T18:30:00Z,13.539,13.539
2018-09-23T18:30:00Z,252.139,252.139
2018-09-24T18:30:00Z,171.483,171.483
2018-09-25T18:30:00Z,140.627,140.627
2018-09-26T18:30:00Z,198.23,198.23
2018-09-27T18:30:00Z,169.513,169.513
2018-09-28T18:30:00Z,36.125,36.125
2018-09-29T18:30:00Z,55.089,55.089
2018-09-30T18:30:00Z,260.778,260.778
2018-10-01T18:30:00Z,89.53099999999999,89.53099999999999
2018-10-02T18:30:00Z,145.888,145.888
2018-10-03T18:30:00Z,191.434,191.434
2018-10-04T18:30:00Z,147.076,147.076
2018-10-05T18:30:00Z,97.038,97.038
2018-10-07T18:30:00Z,287.559,287.559
2018-10-08T18:30:00Z,128.858,128.858
2018-10-09T18:30:00Z,182.322,182.322
2018-10-10T18:30:00Z,143.184,143.184
2018-10-11T18:30:00Z,149.472,149.472
2018-10-12T18:30:00Z,63.976,63.976
2018-10-13T18:30:00Z,50.496,50.496
2018-10-14T18:30:00Z,148.52,148.52
2018-10-15T18:30:00Z,209.401,209.401
2018-10-16T18:30:00Z,122.186,122.186
2018-10-17T18:30:00Z,107.873,107.873
2018-10-18T18:30:00Z,119.684,119.684
2018-10-19T18:30:00Z,62.158,62.158
2018-10-20T18:30:00Z,56.013999999999996,56.013999999999996
2018-10-21T18:30:00Z,203.132,203.132
2018-10-22T18:30:00Z,94.576,94.576
2018-10-23T18:30:00Z,141.451,141.451
2018-10-24T18:30:00Z,55.022999999999996,55.022999999999996
2018-10-25T18:30:00Z,80.492,80.492
2018-10-26T18:30:00Z,118.94,118.94
2018-10-27T18:30:00Z,84.67,84.67
2018-10-28T18:30:00Z,341.785,341.785
2018-10-29T18:30:00Z,128.141,128.141
2018-10-30T18:30:00Z,164.358,164.358
2018-10-31T18:30:00Z,208.141,208.141
2018-11-01T18:30:00Z,165.62,165.62
2018-11-02T18:30:00Z,74.089,74.089
2018-11-03T18:30:00Z,33.57,33.57
2018-11-04T18:30:00Z,107.047,107.047
2018-11-05T18:30:00Z,159.337,159.337
2018-11-06T18:30:00Z,150.329,150.329
2018-11-07T18:30:00Z,135.183,135.183
2018-11-08T18:30:00Z,161.35999999999999,161.35999999999999
2018-11-09T18:30:00Z,11.836,11.836
2018-11-10T18:30:00Z,69.224,69.224
2018-11-11T18:30:00Z,157.38,157.38
2018-11-12T18:30:00Z,207.576,207.576
2018-11-13T18:30:00Z,204.052,204.052
2018-11-14T18:30:00Z,104.985,104.985
2018-11-15T18:30:00Z,102.066,102.066
2018-11-16T18:30:00Z,20.54,20.54
2018-11-17T18:30:00Z,62.702999999999996,62.702999999999996
2018-11-18T18:30:00Z,178.04500000000002,178.04500000000002
2018-11-19T18:30:00Z,154.59099999999998,154.59099999999998
2018-11-20T18:30:00Z,113.794,113.794
2018-11-21T18:30:00Z,155.405,155.405
2018-11-23T18:30:00Z,57.907,57.907
2018-11-24T18:30:00Z,41.128,41.128
2018-11-25T18:30:00Z,163.282,163.282
2018-11-26T18:30:00Z,127.202,127.202
2018-11-27T18:30:00Z,230.52100000000002,230.52100000000002
2018-11-28T18:30:00Z,166.979,166.979
2018-11-29T18:30:00Z,232.34,232.34
2018-11-30T18:30:00Z,23.145,23.145
2018-12-01T18:30:00Z,94.32300000000001,94.32300000000001
2018-12-02T18:30:00Z,127.43,127.43
2018-12-03T18:30:00Z,158.9,158.9
2018-12-04T18:30:00Z,154.071,154.071
2018-12-05T18:30:00Z,204.754,204.754
2018-12-06T18:30:00Z,184.857,184.857
2018-12-07T18:30:00Z,57.23,57.23
2018-12-08T18:30:00Z,28.221,28.221
2018-12-09T18:30:00Z,112.129,112.129
2018-12-10T18:30:00Z,194.129,194.129
2018-12-11T18:30:00Z,170.455,170.455
2018-12-12T18:30:00Z,201.95000000000002,201.95000000000002
2018-12-13T18:30:00Z,186.517,186.517
2018-12-14T18:30:00Z,47.263000000000005,47.263000000000005
2018-12-15T18:30:00Z,0,0
2018-12-16T18:30:00Z,236.295,236.295
2018-12-17T18:30:00Z,102.059,102.059
2018-12-18T18:30:00Z,220.464,220.464
2018-12-19T18:30:00Z,52.251,52.251
2018-12-20T18:30:00Z,96.685,96.685
2018-12-21T18:30:00Z,38.289,38.289
2018-12-22T18:30:00Z,36.867,36.867
2018-12-23T18:30:00Z,119.32600000000001,119.32600000000001
2018-12-24T18:30:00Z,18.472,18.472
2018-12-25T18:30:00Z,123.121,123.121
2018-12-26T18:30:00Z,149.595,149.595
2018-12-27T18:30:00Z,118.447,118.447
2018-12-28T18:30:00Z,78.719,78.719
2018-12-29T18:30:00Z,81.882,81.882
2018-12-30T18:30:00Z,104.02799999999999,104.02799999999999
2018-12-31T18:30:00Z,69.712,69.712
2019-01-01T18:30:00Z,233.573,233.573
2019-01-02T18:30:00Z,142.373,142.373
2019-01-03T18:30:00Z,188.927,188.927
2019-01-04T18:30:00Z,42.010999999999996,42.010999999999996
2019-01-05T18:30:00Z,163.354,163.354
2019-01-06T18:30:00Z,181.56799999999998,181.56799999999998
2019-01-07T18:30:00Z,251.119,251.119
2019-01-08T18:30:00Z,288.49,288.49
2019-01-09T18:30:00Z,143.651,143.651
2019-01-10T18:30:00Z,253.501,253.501
2019-01-11T18:30:00Z,97.063,97.063
2019-01-12T18:30:00Z,54.607,54.607
2019-01-13T18:30:00Z,301.093,301.093
2019-01-14T18:30:00Z,240.446,240.446
2019-01-15T18:30:00Z,250.297,250.297
2019-01-16T18:30:00Z,285.453,285.453
2019-01-17T18:30:00Z,112.208,112.208
2019-01-18T18:30:00Z,33.335,33.335
2019-01-19T18:30:00Z,57.254,57.254
2019-01-20T18:30:00Z,281.212,281.212
2019-01-21T18:30:00Z,195.21,195.21
2019-01-22T18:30:00Z,210.655,210.655
2019-01-23T18:30:00Z,158.956,158.956
2019-01-24T18:30:00Z,205.387,205.387
2019-01-25T18:30:00Z,79.33,79.33
2019-01-26T18:30:00Z,141.2,141.2
2019-01-27T18:30:00Z,255.224,255.224
2019-01-28T18:30:00Z,148.992,148.992
2019-01-29T18:30:00Z,171.315,171.315
2019-01-30T18:30:00Z,216.591,216.591
2019-01-31T18:30:00Z,183.462,183.462
2019-02-01T18:30:00Z,135.345,135.345
2019-02-02T18:30:00Z,59.81,59.81
2019-02-03T18:30:00Z,391.437,391.437
2019-02-04T18:30:00Z,282.666,282.666
2019-02-05T18:30:00Z,331.059,331.059
2019-02-06T18:30:00Z,296.407,296.407
2019-02-07T18:30:00Z,163.713,163.713
2019-02-08T18:30:00Z,61.943000000000005,61.943000000000005
2019-02-09T18:30:00Z,75.56099999999999,75.56099999999999
2019-02-10T18:30:00Z,155.857,155.857
2019-02-11T18:30:00Z,195.49,195.49
2019-02-12T18:30:00Z,203.59,203.59
2019-02-13T18:30:00Z,286.488,286.488
2019-02-14T18:30:00Z,355.532,355.532
2019-02-15T18:30:00Z,17.286,17.286
2019-02-16T18:30:00Z,46.073,46.073
2019-02-17T18:30:00Z,164.695,164.695
2019-02-18T18:30:00Z,202.977,202.977
2019-02-19T18:30:00Z,214.13400000000001,214.13400000000001
2019-02-20T18:30:00Z,263.017,263.017
2019-02-21T18:30:00Z,256.587,256.587
2019-02-22T18:30:00Z,214.14100000000002,214.14100000000002
2019-02-23T18:30:00Z,10.043,10.043
2019-02-24T18:30:00Z,313.303,313.303
2019-02-25T18:30:00Z,182.105,182.105
2019-02-26T18:30:00Z,241.001,241.001
2019-02-27T18:30:00Z,233.00900000000001,233.00900000000001
2019-02-28T18:30:00Z,272.044,272.044
2019-03-01T18:30:00Z,158.433,158.433
2019-03-02T18:30:00Z,116.811,116.811
2019-03-03T18:30:00Z,357.504,357.504
2019-03-04T18:30:00Z,217.549,217.549
2019-03-05T18:30:00Z,267.803,267.803
