time,energy
2020-03-16T18:30:00.000Z,1907.93
2020-03-23T18:30:00.000Z,1114.603
2020-03-30T18:30:00.000Z,887.744
2020-04-06T18:30:00.000Z,1084.81
2020-04-13T18:30:00.000Z,1125.9
2020-04-20T18:30:00.000Z,1590.473
2020-04-27T18:30:00.000Z,1274.367
2020-05-04T18:30:00.000Z,1795.723
2020-05-11T18:30:00.000Z,1605.379
2020-05-18T18:30:00.000Z,1996.635
2020-05-25T18:30:00.000Z,1984.735
2020-06-01T18:30:00.000Z,2160.397
2020-06-08T18:30:00.000Z,2656.024
2020-06-15T18:30:00.000Z,2765.788
2020-06-22T18:30:00.000Z,2582.268
2020-06-29T18:30:00.000Z,2401.884
2020-07-06T18:30:00.000Z,1858.559
2020-07-13T18:30:00.000Z,1924.371
2020-07-20T18:30:00.000Z,1951.031
2020-07-27T18:30:00.000Z,2938.736
2020-08-03T18:30:00.000Z,2665.895
2020-08-10T18:30:00.000Z,2420.935
2020-08-17T18:30:00.000Z,2342.121
2020-08-24T18:30:00.000Z,2933.236
2020-08-31T18:30:00.000Z,3120.185
2020-09-07T18:30:00.000Z,2516.041
2020-09-14T18:30:00.000Z,2565.94
2020-09-21T18:30:00.000Z,3149.885
2020-09-28T18:30:00.000Z,3480.958
2020-10-05T18:30:00.000Z,3351.032
2020-10-12T18:30:00.000Z,3706.508
2020-10-19T18:30:00.000Z,3686.269
2020-10-26T18:30:00.000Z,4025.922
2020-11-02T18:30:00.000Z,3681.114
2020-11-09T18:30:00.000Z,3891.834
2020-11-16T18:30:00.000Z,3482.264
2020-11-23T18:30:00.000Z,3778.916
2020-11-30T18:30:00.000Z,4102.324
2020-12-07T18:30:00.000Z,3932.956
2020-12-14T18:30:00.000Z,4362.618
2020-12-21T18:30:00.000Z,3825.308
2020-12-28T18:30:00.000Z,4456.511
2021-01-04T18:30:00.000Z,5009.513
2021-01-11T18:30:00.000Z,5252.726
2021-01-18T18:30:00.000Z,5046.523
2021-01-25T18:30:00.000Z,5577.7
2021-02-01T18:30:00.000Z,6818.659
2021-02-08T18:30:00.000Z,5973.248
2021-02-15T18:30:00.000Z,6078.129
2021-02-22T18:30:00.000Z,5536.935
2021-03-01T18:30:00.000Z,6237.577
2021-03-08T18:30:00.000Z,7627.575
2021-03-15T18:30:00.000Z,7105.804
2021-03-22T18:30:00.000Z,7412.572
2021-03-29T18:30:00.000Z,7426.868
2021-04-05T18:30:00.000Z,8146.205
2021-04-12T18:30:00.000Z,8318.147
2021-04-19T18:30:00.000Z,8050.58
2021-04-26T18:30:00.000Z,9080.185
2021-05-03T18:30:00.000Z,9733.402
2021-05-10T18:30:00.000Z,8319.526
2021-05-17T18:30:00.000Z,8980.565
2021-05-24T18:30:00.000Z,8578.673
2021-05-31T18:30:00.000Z,8266.164
2021-06-07T18:30:00.000Z,8477.1
2021-06-14T18:30:00.000Z,8698.535
2021-06-21T18:30:00.000Z,9603.549
2021-06-28T18:30:00.000Z,8093.22
2021-07-05T18:30:00.000Z,8393.906
2021-07-12T18:30:00.000Z,8339.533
2021-07-19T18:30:00.000Z,9251.305
2021-07-26T18:30:00.000Z,9836.989
2021-08-02T18:30:00.000Z,9968.491
2021-08-09T18:30:00.000Z,10171.344
2021-08-16T18:30:00.000Z,12532.141
2021-08-23T18:30:00.000Z,12378.166
2021-08-30T18:30:00.000Z,10503.414
2021-09-06T18:30:00.000Z,11751.631
2021-09-13T18:30:00.000Z,12537.875
2021-09-20T18:30:00.000Z,11385.535
2021-09-27T18:30:00.000Z,12081.603
2021-10-04T18:30:00.000Z,11518.134
2021-10-11T18:30:00.000Z,11750.677
2021-10-18T18:30:00.000Z,10627.768
2021-10-25T18:30:00.000Z,11265.114
2021-11-01T18:30:00.000Z,11674.566
2021-11-08T18:30:00.000Z,11800.108
2021-11-15T18:30:00.000Z,13010.863
2021-11-22T18:30:00.000Z,12238.08
2021-11-29T18:30:00.000Z,14000.737
2021-12-06T18:30:00.000Z,14251.228
2021-12-13T18:30:00.000Z,14119.314
2021-12-20T18:30:00.000Z,12422.787
2021-12-27T18:30:00.000Z,11482.402
2022-01-03T18:30:00.000Z,12172.722
2022-01-10T18:30:00.000Z,13907.118
2022-01-17T18:30:00.000Z,13249.565
2022-01-24T18:30:00.000Z,14631.07
2022-01-31T18:30:00.000Z,14468.702
2022-02-07T18:30:00.000Z,16120.509
2022-02-14T18:30:00.000Z,15217.511
2022-02-21T18:30:00.000Z,15663.549
2022-02-28T18:30:00.000Z,17284.125
2022-03-07T18:30:00.000Z,18504.316
2022-03-14T18:30:00.000Z,18498.031
2022-03-21T18:30:00.000Z,18121.459
2022-03-28T18:30:00.000Z,19170.685
2022-04-04T18:30:00.000Z,19264.93
2022-04-11T18:30:00.000Z,19493.374
2022-04-18T18:30:00.000Z,19605.549
2022-04-25T18:30:00.000Z,18617.85
2022-05-02T18:30:00.000Z,19316.256
2022-05-09T18:30:00.000Z,19208.156
2022-05-16T18:30:00.000Z,19195
2022-05-23T18:30:00.000Z,20305.386
2022-05-30T18:30:00.000Z,17048.667
2022-06-06T18:30:00.000Z,19691.222
2022-06-13T18:30:00.000Z,19211.692
2022-06-20T18:30:00.000Z,19506.284
2022-06-27T18:30:00.000Z,18813.935
2022-07-04T18:30:00.000Z,17583.549
2022-07-11T18:30:00.000Z,20701.168
2022-07-18T18:30:00.000Z,19480.134
2022-07-25T18:30:00.000Z,19827.873
2022-08-01T18:30:00.000Z,21089.223
2022-08-08T18:30:00.000Z,22020.426
2022-08-15T18:30:00.000Z,21648.307
2022-08-22T18:30:00.000Z,22838.594
2022-08-29T18:30:00.000Z,23236.887
2022-09-05T18:30:00.000Z,21927.436
2022-09-12T18:30:00.000Z,22977.968
2022-09-19T18:30:00.000Z,23159.214
2022-09-26T18:30:00.000Z,18238.179
2022-10-03T18:30:00.000Z,23141.193
2022-10-10T18:30:00.000Z,21321.779
2022-10-17T18:30:00.000Z,22223.145
2022-10-24T18:30:00.000Z,23985.491
2022-10-31T18:30:00.000Z,23093.931
2022-11-07T18:30:00.000Z,21556.406
2022-11-14T18:30:00.000Z,23302.272
2022-11-21T18:30:00.000Z,18449.394
2022-11-28T18:30:00.000Z,23153.279
2022-12-05T18:30:00.000Z,24414.331
2022-12-12T18:30:00.000Z,22224.758
2022-12-19T18:30:00.000Z,20857.892
2022-12-26T18:30:00.000Z,17619.642
2023-01-02T18:30:00.000Z,21746.742
2023-01-09T18:30:00.000Z,22174.288
2023-01-16T18:30:00.000Z,23724.947
2023-01-23T18:30:00.000Z,23974.271
2023-01-30T18:30:00.000Z,23765.28
2023-02-06T18:30:00.000Z,21707.138
2023-02-13T18:30:00.000Z,23686.306
2023-02-20T18:30:00.000Z,24486.037
2023-02-27T18:30:00.000Z,24597.846
2023-03-06T18:30:00.000Z,24465.911
2023-03-13T18:30:00.000Z,25122.628
2023-03-20T18:30:00.000Z,23736.678
2023-03-27T18:30:00.000Z,25567.163
2023-04-03T18:30:00.000Z,26033.85
2023-04-10T18:30:00.000Z,24626.051
2023-04-17T18:30:00.000Z,27009.233
2023-04-24T18:30:00.000Z,25606.165
2023-05-01T18:30:00.000Z,26740.594
2023-05-08T18:30:00.000Z,26404.839
2023-05-15T18:30:00.000Z,26917.066
2023-05-22T18:30:00.000Z,25275.935
2023-05-29T18:30:00.000Z,26195.593
2023-06-05T18:30:00.000Z,26141.997
2023-06-12T18:30:00.000Z,24252.063
2023-06-19T18:30:00.000Z,26996.161
2023-06-26T18:30:00.000Z,27127.125
2023-07-03T18:30:00.000Z,25119.29
2023-07-10T18:30:00.000Z,27904.647
2023-07-17T18:30:00.000Z,29067.927
2023-07-24T18:30:00.000Z,29922.998
2023-07-31T18:30:00.000Z,30796.293
2023-08-07T18:30:00.000Z,30826.762
2023-08-14T18:30:00.000Z,30588.168
2023-08-21T18:30:00.000Z,31953.95
2023-08-28T18:30:00.000Z,31371.737
2023-09-04T18:30:00.000Z,28811.339
2023-09-11T18:30:00.000Z,31508.916
2023-09-18T18:30:00.000Z,31949.891
2023-09-25T18:30:00.000Z,32148.533
2023-10-02T18:30:00.000Z,32197.783
2023-10-09T18:30:00.000Z,31217.494
2023-10-16T18:30:00.000Z,32039.742
2023-10-23T18:30:00.000Z,32864.237
2023-10-30T18:30:00.000Z,32804.105
2023-11-06T18:30:00.000Z,31475.191
2023-11-13T18:30:00.000Z,30930.56
2023-11-20T18:30:00.000Z,27603.91
2023-11-27T18:30:00.000Z,32974.225
2023-12-04T18:30:00.000Z,34944.151
2023-12-11T18:30:00.000Z,32111.809
2023-12-18T18:30:00.000Z,30991.124
2023-12-25T18:30:00.000Z,27094.13
2024-01-01T18:30:00.000Z,29363.812
2024-01-08T18:30:00.000Z,34435.017
2024-01-15T18:30:00.000Z,35334.295
2024-01-22T18:30:00.000Z,39513.508
2024-01-29T18:30:00.000Z,39126.034
2024-02-05T18:30:00.000Z,38637.193
2024-02-12T18:30:00.000Z,41041.625
2024-02-19T18:30:00.000Z,38706.004
2024-02-26T18:30:00.000Z,37291.101
2024-03-04T18:30:00.000Z,39884.572
2024-03-11T18:30:00.000Z,41847.06
2024-03-18T18:30:00.000Z,40787.953
2024-03-25T18:30:00.000Z,39900.437
2024-04-01T18:30:00.000Z,43546.318
2024-04-08T18:30:00.000Z,44291.409
2024-04-15T18:30:00.000Z,43642.583
2024-04-22T18:30:00.000Z,43436.689
2024-04-29T18:30:00.000Z,46408.527
2024-05-06T18:30:00.000Z,46670.569
2024-05-13T18:30:00.000Z,48991.566
2024-05-20T18:30:00.000Z,47262.211
2024-05-27T18:30:00.000Z,47227.896
2024-06-03T18:30:00.000Z,45518.062
2024-06-10T18:30:00.000Z,38935.039
2024-06-17T18:30:00.000Z,46621.117
2024-06-24T18:30:00.000Z,47025.704
2024-07-01T18:30:00.000Z,45314.048
2024-07-08T18:30:00.000Z,49033.486
2024-07-15T18:30:00.000Z,50688.77
2024-07-22T18:30:00.000Z,50462.677
2024-07-29T18:30:00.000Z,48331.802
2024-08-05T18:30:00.000Z,50787.453
2024-08-12T18:30:00.000Z,52745.139
2024-08-19T18:30:00.000Z,50475.035
2024-08-26T18:30:00.000Z,51717.733
2024-09-02T18:30:00.000Z,54276.682
2024-09-09T18:30:00.000Z,56223.794
2024-09-16T18:30:00.000Z,53928.808
2024-09-23T18:30:00.000Z,53573.571
2024-09-30T18:30:00.000Z,57447.696
2024-10-07T18:30:00.000Z,46995.898
2024-10-14T18:30:00.000Z,55102.694
2024-10-21T18:30:00.000Z,59436.532
2024-10-28T18:30:00.000Z,58998.138
2024-11-04T18:30:00.000Z,57964.188
2024-11-11T18:30:00.000Z,58875.694
2024-11-18T18:30:00.000Z,57212.896
2024-11-25T18:30:00.000Z,49569.773
2024-12-02T18:30:00.000Z,59541.737
2024-12-09T18:30:00.000Z,55673.516
2024-12-16T18:30:00.000Z,56276.202
2024-12-23T18:30:00.000Z,46905.853
2024-12-30T18:30:00.000Z,47688.045
2025-01-06T18:30:00.000Z,62012.637
2025-01-13T18:30:00.000Z,60212.426
2025-01-20T18:30:00.000Z,61976.295
2025-01-27T18:30:00.000Z,62831.944
2025-02-03T18:30:00.000Z,64411.942
2025-02-10T18:30:00.000Z,65626.84
2025-02-17T18:30:00.000Z,66002.375
2025-02-24T18:30:00.000Z,66750.018
2025-03-03T18:30:00.000Z,66383.599
2025-03-10T18:30:00.000Z,67028.691
2025-03-17T18:30:00.000Z,170.827
